entry_date,exit_date,direction,entry,exit,stop,target,bars_held,pnl_$,pnl_%_equity,exit_reason
2015-09-22,2015-09-28,long,4242.47021484375,4169.25652204241,4169.25652204241,4388.897600446429,4,-119.29978641699867,-3.173839211731421,stop
2015-10-06,2015-10-23,long,4290.25,4568.535435267857,4151.107282366072,4568.535435267857,13,215.00628810476798,5.907499650582779,target
2015-10-30,2015-11-03,long,4653.0,4720.822265625,4619.0888671875,4720.822265625,2,215.4065757238392,5.588365269978402,target
2015-11-12,2015-12-11,long,4606.66015625,4537.56005859375,4478.272356305803,4863.435756138393,20,-70.09629183375202,-1.7222841542078715,timeout
2015-12-31,2016-01-04,long,4605.35986328125,4529.3345947265625,4529.3345947265625,4757.410400390625,1,-127.26489647711298,-3.1817300991170505,stop
2016-02-19,2016-03-18,long,4125.830078125,4410.830078125,3973.5744018554688,4430.3414306640625,20,214.3197401028849,5.534260071026639,timeout
2016-03-24,2016-03-29,long,4376.8701171875,4437.253801618304,4346.678274972098,4437.253801618304,2,227.44091378022745,5.565094098668016,target
2016-03-31,2016-04-27,long,4481.83984375,4393.1419677734375,4393.1419677734375,4659.235595703125,19,-135.9708570156631,-3.1515878411203757,stop
2016-07-13,2016-07-28,long,4570.56005859375,4721.835553850446,4494.922310965402,4721.835553850446,11,243.12874831374307,5.818719083979673,target
2016-08-02,2016-08-04,long,4696.080078125,4746.798967633929,4670.720633370535,4746.798967633929,2,240.72769876099764,5.444457858964176,target
2016-08-25,2016-09-09,long,4770.22021484375,4733.685982840402,4733.685982840402,4843.288678850446,10,-158.12965415173974,-3.391705528207624,stop
2016-09-23,2016-10-13,long,4876.3701171875,4796.467476981027,4796.467476981027,5036.175397600446,14,-143.36992705439735,-3.1830866954303394,stop
2016-11-25,2016-12-01,long,4861.080078125,4807.069004603794,4807.069004603794,4969.102225167411,4,-142.59660892237042,-3.2700046357836117,stop
2016-12-01,2016-12-13,long,4757.25,4932.022147042411,4669.863926478794,4932.022147042411,8,246.19997359239602,5.836681642452595,target
2016-12-16,2016-12-30,long,4910.759765625,4857.351789202009,4857.351789202009,5017.575718470982,9,-146.2451412895655,-3.275844176910868,stop
2017-01-12,2017-01-25,long,5009.4501953125,5133.343715122768,4947.503435407366,5133.343715122768,8,248.61050823670905,5.757398924351296,target
2017-01-30,2017-02-15,long,5129.0,5274.343122209821,5056.32843889509,5274.343122209821,12,264.3336437098953,5.788266554811077,target
2017-02-27,2017-03-01,long,5330.47021484375,5388.829136439732,5301.290754045759,5388.829136439732,2,263.38701326075466,5.4519634630934535,target
2017-03-15,2017-03-21,long,5382.02001953125,5353.365530831473,5353.365530831473,5439.328996930804,4,-181.53889544666998,-3.5634740241838374,stop
2017-04-03,2017-04-11,long,5405.10009765625,5362.399152483259,5362.399152483259,5490.501988002232,6,-166.04319082882276,-3.379741015738106,stop
2017-05-05,2017-05-16,long,5625.490234375,5714.870012555804,5580.800345284598,5714.870012555804,7,266.88543556669663,5.622364900727636,target
2017-05-31,2017-06-08,long,5771.7099609375,5893.267299107143,5710.931291852678,5893.267299107143,6,286.54079268966296,5.715111730093204,target
2017-06-08,2017-06-09,long,5871.08984375,5795.924769810268,5795.924769810268,6021.419991629464,1,-171.4284289641427,-3.2343278414835654,stop
2017-06-28,2017-06-29,long,5661.58984375,5604.25115094866,5604.25115094866,5776.267229352679,1,-169.05814074525276,-3.2962182899791035,stop
2017-06-29,2017-07-12,long,5600.31005859375,5739.937779017857,5530.496198381697,5739.937779017857,8,285.65169838113775,5.759346781215792,target
2017-07-18,2017-07-24,long,5830.25,5950.012520926339,5770.368739536831,5950.012520926339,4,299.4052536022896,5.707909455066367,target
2017-07-31,2017-08-10,long,5895.5400390625,5835.7265625,5835.7265625,6015.1669921875,8,-182.7414227541595,-3.2956962399386116,stop
2017-09-05,2017-09-25,long,5945.9501953125,5841.360421316965,5841.360421316965,6155.129743303571,14,-170.00837605291304,-3.1705506179475913,stop
