swing_n,rr,risk,min_fvg_pct,allow_short,cagr,max_dd,sharpe,win_rate,profit_factor,n_trades,final
3,2.0,0.03,0.001,True,0.1430765286434068,-0.27855964093690333,0.7619612312758729,0.44630071599045346,1.4139618351783991,419,14443.168722491107
3,2.0,0.03,0.0015,True,0.1430670028700458,-0.31628054420561935,0.7721160535681543,0.4474327628361858,1.4432289945439407,409,14440.765504374958
2,3.0,0.03,0.003,False,0.14180174175788252,-0.33588241895635296,0.8866439742966095,0.45,1.9230822772160077,200,14124.91187865488
5,2.0,0.03,0.0015,True,0.14169780067472626,-0.33867227876541883,0.7656966809668955,0.44801980198019803,1.5363901788422818,404,14099.258329135911
5,3.0,0.03,0.001,True,0.14036548343661592,-0.5310080709662699,0.6857991052955672,0.37777777777777777,1.5931268108031043,360,13774.325758840767
2,1.5,0.03,0.0015,True,0.13910782508328223,-0.32244265485132406,0.8068243832135956,0.5175644028103045,1.4218631441306948,427,13474.138152200521
2,1.5,0.03,0.001,True,0.13852921759066095,-0.34576599192314017,0.7926754291105098,0.5158371040723982,1.3901743539754008,442,13338.128589895472
5,3.0,0.03,0.0015,True,0.1346485026698565,-0.5581677697525858,0.6689828340003994,0.37677053824362605,1.6216596153572302,353,12459.059420807303
5,1.5,0.03,0.001,True,0.13372125730136863,-0.3711445903947055,0.7733813662988485,0.5135746606334841,1.4120302735760897,442,12257.31752178711
5,2.0,0.03,0.003,False,0.13318664993276275,-0.26467570857682676,0.8839753688530788,0.49800796812749004,1.7499595968966728,251,12142.416722798927
3,1.5,0.03,0.001,True,0.13273709614471185,-0.36646134237468353,0.7679670060160414,0.5123042505592841,1.3311225997426197,447,12046.58877022615
5,3.0,0.03,0.003,False,0.13228512574307616,-0.33079088349660846,0.7975530132593361,0.42857142857142855,1.729540192587715,217,11950.970167343146
2,3.0,0.03,0.003,True,0.13151105976519828,-0.6269427603233512,0.6969330231743734,0.3829113924050633,1.6311879815227033,316,11788.8817353583
3,1.5,0.03,0.0015,True,0.13137715150674212,-0.3438757912150059,0.7713000081510407,0.5127020785219399,1.3540128254692017,433,11761.054255121262
2,2.0,0.03,0.003,False,0.13033022674115924,-0.21445493971918372,0.9023876385023066,0.5,1.6674814099772994,238,11545.633584819594
5,1.5,0.03,0.0015,True,0.12832388225035185,-0.34872599627305045,0.754748702056674,0.5116279069767442,1.4234985019217847,430,11143.228778715215
3,3.0,0.03,0.003,False,0.12698496436335094,-0.29549228222516566,0.7918322995849254,0.4265402843601896,1.700098571656932,211,10882.138395145616
5,1.5,0.03,0.003,False,0.12529984494923618,-0.29214640983358997,0.899517146573075,0.5597014925373134,1.6379499614610373,268,10561.7921563903
2,1.5,0.03,0.003,False,0.12385982823432795,-0.2365587396251162,0.9296884576986064,0.562992125984252,1.601132999935832,254,10295.158753934315
3,2.0,0.03,0.003,False,0.11928618542581138,-0.2955528126201422,0.8174775578141811,0.48770491803278687,1.5812789793407975,244,9490.064952278331
2,2.0,0.02,0.001,False,0.11707658949481914,-0.13487049975644883,1.075050454678926,0.5183823529411765,1.7767868279921493,272,9122.892673611246
3,1.5,0.03,0.003,False,0.11660727659292891,-0.3072452605325904,0.8606308107045982,0.5538461538461539,1.5194351446303587,260,9046.663247696353
2,1.5,0.03,0.003,True,0.11437745715754999,-0.415548732589922,0.7137523656156548,0.5076530612244898,1.3836734856579698,392,8692.671604754787
3,2.0,0.02,0.001,False,0.11430080544163945,-0.17696518769980774,1.0340432237488721,0.5126353790613718,1.7107283207765906,277,8680.739978638172
5,2.0,0.02,0.001,False,0.11391764699142115,-0.18375378749054638,1.0232776720794623,0.5124555160142349,1.7800072911623586,281,8621.330313734456
3,3.0,0.02,0.0015,False,0.11378906989637882,-0.22448155470032816,0.9242082303510285,0.44155844155844154,1.899340277211361,231,8601.480815450832
2,2.0,0.02,0.0015,False,0.11352413670963002,-0.1348704997564486,1.0714447624152963,0.5190839694656488,1.811198761561586,262,8560.717709317736
2,2.0,0.03,0.003,True,0.11249621154691658,-0.39950814194171935,0.6664860427939981,0.4371584699453552,1.3893573748406232,366,8404.289801117691
3,3.0,0.03,0.003,True,0.11156538032099061,-0.5106884171393238,0.6072265897217981,0.36890243902439024,1.454852964167848,328,8264.983485339793
3,2.0,0.02,0.0015,False,0.11152527175907778,-0.17696518769980762,1.0314643290003218,0.5130111524163569,1.744846651241891,269,8259.030489970652
